Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,environment_(biome),environment_(material)
SRR8731691,WGS,291,6785516,PRJNA516442,SAMN11135579,4001907,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524566,Illumina MiSeq,185 Cell Lysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,185 Cell Lysis,SRP188475,human lung,sputum
SRR8731692,WGS,288,5815502,PRJNA516442,SAMN11135580,3586474,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524567,Illumina MiSeq,184 Cell Lysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,184 Cell Lysis,SRP188475,human lung,sputum
SRR8731693,WGS,294,36850657,PRJNA516442,SAMN11135582,21108089,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524568,Illumina MiSeq,185 Molysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,185 Molysis,SRP188475,human lung,sputum
SRR8731694,WGS,290,5557063,PRJNA516442,SAMN11135584,3334994,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524569,Illumina MiSeq,183 Cell Lysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,183 Cell Lysis,SRP188475,human lung,sputum
SRR8731695,AMPLICON,601,67660299,PRJNA516442,SAMN11135585,44104274,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524570,Illumina MiSeq,312 Benzonase1 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,312 Benzonase1 16S,SRP188475,human lung,sputum
SRR8731696,AMPLICON,601,27516644,PRJNA516442,SAMN11135587,17866107,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524571,Illumina MiSeq,186 Benzonase1 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Benzonase1 16S,SRP188475,human lung,sputum
SRR8731697,AMPLICON,601,35144377,PRJNA516442,SAMN11135589,22819675,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524572,Illumina MiSeq,309 Benzonase2 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,309 Benzonase2 16S,SRP188475,human lung,sputum
SRR8731698,AMPLICON,601,30350753,PRJNA516442,SAMN11135590,19768761,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524573,Illumina MiSeq,186 Standard 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Standard 16S,SRP188475,human lung,sputum
SRR8731699,AMPLICON,601,29884428,PRJNA516442,SAMN11135592,19529608,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524574,Illumina MiSeq,205 Benzonase2 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,205 Benzonase2 16S,SRP188475,human lung,sputum
SRR8731700,AMPLICON,601,33084332,PRJNA516442,SAMN11135593,21376615,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524575,Illumina MiSeq,309 Benzonase1 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,309 Benzonase1 16S,SRP188475,human lung,sputum
SRR8731701,AMPLICON,601,27844387,PRJNA516442,SAMN11135595,18005128,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524576,Illumina MiSeq,309 Standard 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,309 Standard 16S,SRP188475,human lung,sputum
SRR8731702,AMPLICON,601,43855894,PRJNA516442,SAMN11135596,28766815,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524577,Illumina MiSeq,205 Standard 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,205 Standard 16S,SRP188475,human lung,sputum
SRR8731703,AMPLICON,601,43292591,PRJNA516442,SAMN11135598,27998880,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524578,Illumina MiSeq,312 Standard 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,312 Standard 16S,SRP188475,human lung,sputum
SRR8731704,AMPLICON,601,38877581,PRJNA516442,SAMN11135600,25132379,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524579,Illumina MiSeq,186 Benzonase2 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Benzonase2 16S,SRP188475,human lung,sputum
SRR8731705,AMPLICON,601,28570253,PRJNA516442,SAMN11135601,18538074,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524580,Illumina MiSeq,205 Benzonase1 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,205 Benzonase1 16S,SRP188475,human lung,sputum
SRR8731706,AMPLICON,601,78491570,PRJNA516442,SAMN11135603,50841924,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524581,Illumina MiSeq,312 Benzonase2 16S,PAIRED,PCR,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,312 Benzonase2 16S,SRP188475,human lung,sputum
SRR8731707,AMPLICON,601,14400695,PRJNA516442,SAMN11135604,9415262,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524582,Illumina MiSeq,Mock Benzonase2 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock Benzonase2 16S,SRP188475,,
SRR8731708,AMPLICON,601,13262343,PRJNA516442,SAMN11135606,8694442,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524583,Illumina MiSeq,Mock Standard 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock Standard 16S,SRP188475,,
SRR8731709,AMPLICON,601,14802607,PRJNA516442,SAMN11135608,9651661,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524584,Illumina MiSeq,Mock Benzonase1 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock Benzonase1 16S,SRP188475,,
SRR8731710,AMPLICON,601,13577311,PRJNA516442,SAMN11135609,8911195,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524585,Illumina MiSeq,Mock Molysis 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock Molysis 16S,SRP188475,,
SRR8731711,AMPLICON,601,15320685,PRJNA516442,SAMN11135611,9962311,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524586,Illumina MiSeq,Mock PMA 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock PMA 16S,SRP188475,,
SRR8731712,AMPLICON,601,15223209,PRJNA516442,SAMN11135612,9866838,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524587,Illumina MiSeq,Mock Cell Lysis 16S,PAIRED,PCR,METAGENOMIC,synthetic metagenome,ILLUMINA,2019-10-09T00:00:00Z,Mock Cell Lysis 16S,SRP188475,,
